Date,Open,High,Low,Close,Adj Close,Volume
2016-02-29,16.971001,17.504999,16.209000,17.430000,15.462993,20350
2016-03-31,17.270000,17.311001,15.934000,17.209999,15.267819,16252
2016-04-30,17.141001,17.879999,16.490000,17.784000,15.777043,12623
2016-05-31,17.978001,18.499001,15.896000,17.629000,15.639536,25538
2016-06-30,17.629000,19.509001,16.642000,19.115999,17.114504,16153
2016-07-31,18.877001,20.940001,18.669001,20.648001,18.486103,19042
2016-08-31,20.493000,22.028000,20.368999,21.393999,19.153994,11714
2016-09-30,21.393999,21.638000,19.584999,21.030001,18.828104,6893
2016-10-31,20.996000,20.996000,17.408001,19.677000,17.616766,30334
2016-11-30,19.513000,19.513000,17.728001,19.121000,17.118982,13887
2016-12-31,19.190001,19.927000,19.079000,19.344999,17.319527,12322
2017-01-31,19.500000,21.274000,19.500000,20.950001,18.756481,17503
2017-02-28,20.834000,22.348000,20.834000,22.110001,19.795027,10298
2017-03-31,22.110001,22.403999,19.000000,19.760000,17.691076,5413
2017-04-30,19.760000,20.955999,19.760000,20.165001,20.046038,10414
2017-05-31,20.098000,20.299999,18.150000,18.743999,18.633419,9564
2017-06-30,18.601999,18.653999,13.782000,13.782000,13.700693,100797
2017-07-31,14.000000,14.117000,12.306000,12.500000,12.500000,59845
2017-08-31,12.600000,12.982000,10.857000,10.967000,10.967000,59118
2017-09-30,11.138000,12.975000,10.791000,11.782000,11.782000,82815
2017-10-31,12.405000,12.545000,9.178000,10.593000,10.593000,134779
2017-11-30,10.831000,11.985000,10.061000,11.390000,11.390000,36261
2017-12-31,11.390000,13.270000,11.390000,12.500000,12.500000,121720
2018-01-31,12.610000,13.100000,11.040000,13.100000,13.100000,93230
2018-02-28,12.830000,13.070000,12.300000,12.575000,12.575000,46238
2018-03-02,12.825000,12.825000,12.300000,12.575000,12.575000,33079
