Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,null,null,null,null,null,null
2016-04-01,738.599976,769.900024,689.000000,693.010010,693.010010,42140100
2016-05-01,697.630005,739.729980,689.010010,735.719971,735.719971,34941900
2016-06-01,734.530029,737.210022,663.283997,692.099976,692.099976,39358300
2016-07-01,692.200012,778.549988,688.215027,768.789978,768.789978,29898300
2016-08-01,761.090027,789.750000,761.090027,767.049988,767.049988,26373900
2016-09-01,769.250000,789.849976,754.000000,777.289978,777.289978,27540000
2016-10-01,774.250000,816.679993,769.500000,784.539978,784.539978,33881500
2016-11-01,782.890015,795.632996,727.539978,758.039978,758.039978,42595000
2016-12-01,757.440002,804.380005,737.025024,771.820007,771.820007,32079700
2017-01-01,778.809998,841.950012,775.799988,796.789978,796.789978,33191600
2017-02-01,799.679993,833.450012,791.190002,823.210022,823.210022,25682500
2017-03-01,828.849976,853.500000,803.369995,829.559998,829.559998,33835100
2017-04-01,829.219971,916.849976,817.020020,905.960022,905.960022,25161900
2017-05-01,901.940002,979.270020,901.450012,964.859985,964.859985,32180100
2017-06-01,968.950012,988.250000,908.309998,908.729980,908.729980,43577200
2017-07-01,912.179993,986.200012,894.789978,930.500000,930.500000,36679200
2017-08-01,932.380005,941.979980,903.400024,939.330017,939.330017,27958000
2017-09-01,941.130005,959.786011,909.700012,959.109985,959.109985,28053800
2017-10-01,959.979980,1048.390015,947.840027,1016.640015,1016.640015,31779700
2017-11-01,1017.210022,1062.375000,1013.010010,1021.409973,1021.409973,24265500
2017-12-01,1015.799988,1078.489990,988.280029,1046.400024,1046.400024,28163700
2018-01-01,1048.339966,1186.890015,1045.229980,1169.939941,1169.939941,28738400
2018-02-01,1162.609985,1174.000000,992.559998,1104.729980,1104.729980,42384100
2018-03-01,1107.869995,1110.119995,1067.000977,1069.520020,1069.520020,2452400
2018-03-02,1053.079956,1081.998657,1048.114990,1078.920044,1078.920044,2271551
