Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,null,null,null,null,null,null
2016-04-01,55.049999,56.770000,49.349998,49.869999,47.595295,697861300
2016-05-01,50.000000,53.000000,49.459999,53.000000,50.582531,530284000
2016-06-01,52.439999,52.950001,48.040001,51.169998,49.177578,823351500
2016-07-01,51.130001,57.290001,50.389999,56.680000,54.473030,647351200
2016-08-01,56.599998,58.700001,56.139999,57.459999,55.222660,466729800
2016-09-01,57.009998,58.189999,55.610001,57.599998,55.702232,526196300
2016-10-01,57.410000,61.369999,56.320000,59.919998,57.945789,614211700
2016-11-01,59.970001,61.410000,57.279999,60.259998,58.274593,612034100
2016-12-01,60.110001,64.099998,58.799999,62.139999,60.498604,513256500
2017-01-01,62.790001,65.910004,61.950001,64.650002,62.942310,493283800
2017-02-01,64.360001,65.239998,62.750000,63.980000,62.290009,440701500
2017-03-01,64.129997,66.190002,63.619999,65.860001,64.509079,489169700
2017-04-01,65.809998,69.139999,64.849998,68.459999,67.055740,433065900
2017-05-01,68.680000,70.739998,67.139999,69.839996,68.407433,517218500
2017-06-01,70.239998,72.889999,68.089996,68.930000,67.903107,629584800
2017-07-01,69.330002,74.419998,68.019997,72.699997,71.616936,469851200
2017-08-01,73.099998,74.959999,71.279999,74.769997,73.656097,444041200
2017-09-01,74.709999,75.970001,72.919998,74.489998,73.771233,375983900
2017-10-01,74.709999,86.199997,73.709999,83.180000,82.377388,449950000
2017-11-01,83.680000,85.059998,82.239998,84.169998,83.357826,421926000
2017-12-01,83.599998,87.500000,80.699997,85.540001,85.140060,466203300
2018-01-01,86.129997,95.449997,85.500000,95.010002,94.565781,574258400
2018-02-01,94.790001,96.070000,83.830002,93.769997,93.331573,725663300
2018-03-01,93.989998,94.570000,91.839996,92.849998,92.849998,36924100
2018-03-02,91.580002,93.150002,90.860001,93.050003,93.050003,32830389
