Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,null,null,null,null,null,null
2016-04-01,103.470001,107.910004,97.800003,101.699997,100.176903,10843600
2016-05-01,102.519997,104.820000,98.019997,103.410004,101.861305,10442900
2016-06-01,104.239998,110.000000,98.389999,99.989998,98.492516,11610800
2016-07-01,99.580002,112.790001,98.480003,111.599998,109.928642,7837700
2016-08-01,112.120003,121.769997,109.080002,120.629997,118.823402,8962300
2016-09-01,121.589996,122.089996,114.379997,116.059998,114.321846,6822900
2016-10-01,114.489998,117.180000,114.089996,115.660004,115.660004,4077400
2016-11-01,115.760002,118.809998,109.940002,118.529999,118.529999,5317200
2016-12-01,117.690002,123.180000,116.699997,117.199997,117.199997,4185800
2017-01-01,118.169998,121.389999,115.070000,115.750000,115.750000,4125200
2017-02-01,115.839996,116.150002,111.120003,113.150002,113.150002,5079700
2017-03-01,114.820000,114.980003,108.410004,108.620003,108.620003,5181700
2017-04-01,108.620003,110.330002,104.169998,108.139999,108.139999,5862600
2017-05-01,108.290001,110.349998,105.690002,107.540001,107.540001,5179700
2017-06-01,107.839996,109.620003,103.620003,105.019997,105.019997,5811100
2017-07-01,105.800003,113.000000,105.650002,112.839996,112.839996,4520600
2017-08-01,114.120003,114.489998,111.290001,112.980003,112.980003,4247800
2017-09-01,112.739998,121.800003,112.629997,119.169998,119.169998,3710700
2017-10-01,118.830002,124.440002,118.820000,124.000000,124.000000,3447600
2017-11-01,124.290001,128.110001,122.489998,126.339996,126.339996,3176700
2017-12-01,125.400002,128.440002,122.629997,127.169998,127.169998,2681800
2018-01-01,127.430000,140.990005,127.169998,137.919998,137.919998,4421400
2018-02-01,138.240005,139.479996,131.309998,134.600006,134.600006,4418000
2018-03-01,133.479996,133.559998,129.500000,130.389999,130.389999,438100
2018-03-02,129.169998,130.729996,128.600006,130.589996,130.589996,214253
